Swimmer name,Year of birth,Country,Time,Splits,Date
"CINTI, Edoardo",1995,Italy,2:07.85,"['27.39', '32.36', '36.68', '31.42']",2 Aug 2014
"DIMITROV, Nikola",1995,Bulgaria,2:07.87,[],6 Dec 2014
"RENARD, Geoffrey",1997,France,2:07.88,"['27.31', '33.94', '36.76', '29.87']",7 Jun 2014
"DIXON, Jake",1998,Great Britain,2:07.89,[],8 Aug 2014
"MAXWELL, David",1993,Great Britain,2:07.90,[],4 May 2014
"ALONSO GATO, Oscar",1995,Spain,2:07.91,"['27.44', '1:40.']",20 Jul 2014
"TURAN, Furkan",1997,Turkey,2:07.91,"['59.61', '1:08.']",5 Aug 2014
"GRIFFIN, Ben",1996,Ireland,2:07.92,"['27.86', '33.12', '36.98', '29.96']",19 Jul 2014
"COTOVIO, Ricardo Ferreira",1991,Portugal,2:07.93,"['26.64', '33.49', '37.79', '30.01']",27 Jul 2014
"LEONARDI, Valentin",1996,France,2:07.94,"['27.83', '32.08', '38.12', '29.91']",10 Apr 2014
"AUBOECK, Felix",1996,Austria,2:07.94,"['28.05', '34.28', '36.82', '28.79']",11 Apr 2014
"LIU, Nianguo",1998,Greece,2:07.94,[],27 Jul 2014
"KLOS, Grzegorz",1995,Poland,2:07.96,"['27.80', '33.65', '36.31', '30.20']",7 Jun 2014
"ERICSSON, Oskar",1997,Sweden,2:07.97,"['27.87', '32.00', '38.37', '29.73']",10 Jul 2014
"OSELEDETS, Dmytro",1994,Ukraine,2:07.97,"['27.38', '33.43', '34.92', '32.24']",13 Dec 2014
"SCHOLTZ, Jan",1998,Germany,2:07.98,"['28.28', '31.71', '39.19', '28.80']",19 Jun 2014
"MINICHINI, Gabriele",1995,Italy,2:07.99,"['27.01', '34.92', '37.05', '29.01']",7 Jun 2014
"REIDY, James",1997,Great Britain,2:07.99,[],8 Aug 2014
"BEREZHINSKIY, Mikhail",1997,Russia,2:08.03,"['26.99', '32.43', '37.52', '31.09']",27 Jul 2014
"CORTENS, Ken",1993,Belgium,2:08.03,"['27.31', '33.65', '37.05', '30.02']",25 Jul 2014
"PETRONI, Edoardo",1996,Italy,2:08.05,[],2 Jun 2014
"ORTHEN, Dominik",1998,Germany,2:08.05,"['27.50', '33.96', '36.50', '30.09']",19 Jun 2014
"FOMENKO, Kirill",1987,Russia,2:08.07,[],21 Feb 2014
"GLANIA, Jan-Philip",1988,Germany,2:08.07,"['59.12', '1:08.']",23 Feb 2014
"QUINN, Gerry",1998,Ireland,2:08.07,"['27.47', '32.25', '38.16', '30.19']",27 Jul 2014
"ALARCIA BARTOLOME, Inigo",1995,Spain,2:08.10,"['27.63', '1:40.']",13 Apr 2014
"LA ROSA, Guido",1993,Italy,2:08.12,"['26.73', '32.79', '38.69', '29.91']",8 Mar 2014
"SIRVENT, Timothey",1993,France,2:08.13,"['26.75', '33.24', '38.56', '29.58']",22 Mar 2014
"ARTUKOVIC, Jerko",1997,Croatia,2:08.14,"['27.23', '34.13', '36.27', '30.51']",28 Mar 2014
"FISCHER, Christopher",1995,Germany,2:08.14,"['27.32', '31.80', '37.31', '31.71']",18 Jun 2014
"ANCARANI, Stefano",1990,Italy,2:08.14,"['27.55', '34.49', '34.84', '31.26']",2 Aug 2014
"MOUZAS, Hristos",1995,Greece,2:08.18,[],10 May 2014
"REDKOV, Maxim",1989,Russia,2:08.19,[],21 Feb 2014
"MYRZIN, Sergey",1996,Russia,2:08.19,"['26.44', '33.89', '37.26', '30.60']",14 May 2014
"BROWN, James",1997,Great Britain,2:08.21,[],7 Aug 2014
"LUTAY, Mikhail",1993,Russia,2:08.26,[],25 Jun 2014
"ASTRAY GOMEZ, Saul",1997,Spain,2:08.28,"['27.57', '1:40.']",20 Jul 2014
"ANDRIEN, Maxime",1994,Belgium,2:08.29,"['26.62', '33.20', '38.85', '29.62']",9 Apr 2014
"STOLZ, Elijah",1993,Switzerland,2:08.30,"['27.97', '32.00', '37.37', '30.96']",30 Mar 2014
"CASTERA, Mathis",1996,France,2:08.31,"['27.33', '32.95', '37.83', '30.20']",28 Jul 2014
"HENTSCHEL, Paul",1997,Germany,2:08.31,"['27.58', '32.50', '38.32', '29.91']",13 Dec 2014
"QUINN, Gerry",1998,Ireland,2:08.07,"['27.47', '32.25', '38.16', '30.19']",27 Jul 2014
"ALARCIA BARTOLOME, Inigo",1995,Spain,2:08.10,"['27.63', '1:40.']",13 Apr 2014
"LA ROSA, Guido",1993,Italy,2:08.12,"['26.73', '32.79', '38.69', '29.91']",8 Mar 2014
"SIRVENT, Timothey",1993,France,2:08.13,"['26.75', '33.24', '38.56', '29.58']",22 Mar 2014
"ARTUKOVIC, Jerko",1997,Croatia,2:08.14,"['27.23', '34.13', '36.27', '30.51']",28 Mar 2014
"FISCHER, Christopher",1995,Germany,2:08.14,"['27.32', '31.80', '37.31', '31.71']",18 Jun 2014
"ANCARANI, Stefano",1990,Italy,2:08.14,"['27.55', '34.49', '34.84', '31.26']",2 Aug 2014
"MOUZAS, Hristos",1995,Greece,2:08.18,[],10 May 2014
"REDKOV, Maxim",1989,Russia,2:08.19,[],21 Feb 2014
"MYRZIN, Sergey",1996,Russia,2:08.19,"['26.44', '33.89', '37.26', '30.60']",14 May 2014
"BROWN, James",1997,Great Britain,2:08.21,[],7 Aug 2014
"LUTAY, Mikhail",1993,Russia,2:08.26,[],25 Jun 2014
"ASTRAY GOMEZ, Saul",1997,Spain,2:08.28,"['27.57', '1:40.']",20 Jul 2014
"ANDRIEN, Maxime",1994,Belgium,2:08.29,"['26.62', '33.20', '38.85', '29.62']",9 Apr 2014
"STOLZ, Elijah",1993,Switzerland,2:08.30,"['27.97', '32.00', '37.37', '30.96']",30 Mar 2014
"CASTERA, Mathis",1996,France,2:08.31,"['27.33', '32.95', '37.83', '30.20']",28 Jul 2014
"HENTSCHEL, Paul",1997,Germany,2:08.31,"['27.58', '32.50', '38.32', '29.91']",13 Dec 2014
"IPPOLITO, Francesco",1996,Italy,2:08.34,"['26.88', '33.74', '37.80', '29.92']",11 Apr 2014
"RAMIREZ, Alejandro Garcia",1998,Spain,2:08.35,"['27.35', '1:41.']",9 May 2014
"HULBOJ, Marcin",1996,Poland,2:08.35,"['27.54', '35.88', '34.34', '30.59']",19 Jul 2014
"HOLLINGSWORTH, Thomas",1988,Great Britain,2:08.35,"['26.61', '32.59', '37.30', '31.85']",29 Jul 2014
"TANDA, Alessandro",1997,Italy,2:08.35,"['27.83', '32.64', '37.05', '30.83']",5 Aug 2014
"HAVRANEK, Tomas",1994,Czech Republic,2:08.38,"['26.43', '33.01', '1:08.']",5 Apr 2014
"POELMANS, Willem",1994,Belgium,2:08.38,"['27.31', '34.07', '36.43', '30.57']",25 Jul 2014
"HORN, Tobias",1993,Germany,2:08.38,"['27.33', '33.84', '38.53', '28.68']",20 Dec 2014
"CSEH, Laszlo",1985,Hungary,1:53.48,"['25.18', '29.03', '29.33', '29.94']",5 Aug 2015
"SWITKOWSKI, Jan",1994,Poland,1:54.10,"['25.96', '29.22', '29.68', '29.24']",5 Aug 2015
"BROMER, Viktor B.",1993,Denmark,1:54.47,"['25.96', '28.79', '29.42', '30.30']",4 Aug 2015
"KENDERESI, Tamas",1996,Hungary,1:54.79,"['26.55', '29.89', '29.74', '28.61']",30 Jun 2015
"KOPTELOV, Evgeny",1993,Russia,1:54.79,"['26.04', '29.15', '30.17', '29.43']",7 Jul 2015
"CROENEN, Louis",1994,Belgium,1:55.39,"['25.52', '29.60', '29.68', '30.59']",5 Aug 2015
"BICZO, Bence",1993,Hungary,1:55.80,"['26.34', '29.51', '30.05', '29.90']",30 Jun 2015
"PAVONE, Francesco",1991,Italy,1:56.18,"['26.28', '29.14', '30.03', '30.73']",7 Jul 2015
"DIMITRIADIS, Stefanos",1989,Greece,1:56.23,"['26.28', '29.77', '30.08', '30.10']",4 Aug 2015
"KUDASHEV, Alexander",1995,Russia,1:56.30,"['25.65', '30.01', '29.38', '31.26']",21 Apr 2015
"COELHO, Jordan",1992,France,1:56.47,"['25.95', '29.87', '30.30', '30.35']",7 Jul 2015
"PERALTA GALLEGO, Carlos",1994,Spain,1:56.57,"['26.28', '29.86', '30.22', '30.21']",13 Dec 2015
"PRIBYTOK, Aleksandr",1996,Russia,1:56.92,"['25.96', '30.17', '29.75', '31.04']",6 Jul 2015
"PAKHOMOV, Daniil",1998,Russia,1:56.93,"['25.72', '29.07', '30.25', '31.89']",30 Aug 2015
"VERRASZTO, David",1988,Hungary,1:57.09,"['26.82', '29.93', '1:00.']",3 Apr 2015
"GUY, James",1995,Great Britain,1:57.09,"['25.48', '29.79', '30.04', '31.78']",25 Jun 2015
"SJOEDIN, Simon",1986,Sweden,1:57.22,"['26.14', '29.52', '30.50', '31.06']",3 Apr 2015
"KUNERT, Alexander",1996,Germany,1:57.28,"['26.59', '29.94', '30.38', '30.37']",4 Aug 2015
"BRODIE, Cameron",1992,Great Britain,1:57.29,"['25.92', '29.40', '30.48', '31.49']",6 Jul 2015
"CARINI, Giacomo",1997,Italy,1:57.46,"['26.14', '29.87', '30.39', '31.06']",25 Jun 2015
"GIERKE, Markus",1991,Germany,1:57.50,"['26.06', '29.80', '1:01.']",11 Apr 2015
"QUINTANILHA, Nuno Goncalo",1987,Portugal,1:57.55,"['26.06', '30.34', '1:01.']",28 Mar 2015
"PELIZZARI, Matteo",1991,Italy,1:57.57,"['26.60', '29.53', '30.42', '31.02']",13 Aug 2015
"SEFL, Jan",1990,Czech Republic,1:57.63,"['26.29', '29.98', '30.25', '31.11']",4 Aug 2015
"STJEPANOVIC, Velimir",1993,Serbia,1:57.77,"['26.30', '28.96', '30.79', '31.72']",3 Apr 2015
"POPRAWA, Michal",1994,Poland,1:57.89,"['26.54', '30.48', '30.22', '30.65']",6 Jul 2015
"SKVORTSOV, Nikolay",1984,Russia,1:57.99,"['26.58', '30.18', '30.82', '30.41']",2 Nov 2015
"LELLIOTT, Jay",1995,Great Britain,1:58.03,"['26.62', '30.03', '30.31', '31.07']",30 Jul 2015
"LIESS, Nils",1996,Switzerland,1:58.10,"['25.75', '30.70', '1:01.']",28 Mar 2015
"PRIBYTOK, Alexander",1996,Russia,1:58.12,"['26.54', '30.28', '29.98', '31.32']",20 Apr 2015
"MARKOZIS, Konstantinos",1992,Greece,1:58.21,[],12 Jun 2015
"DRYMONAKOS, Ioannis",1984,Greece,1:58.39,[],12 Jun 2015
"COCI, Alexandru",1989,Romania,1:58.43,"['26.64', '29.93', '30.61', '31.25']",4 Aug 2015
"LEMAIRE, Paul",1991,France,1:58.50,"['26.29', '30.08', '31.01', '31.12']",3 Apr 2015
"HEINTZ, Philip",1991,Germany,1:58.53,"['26.00', '29.59', '30.57', '32.37']",11 Aug 2015
"ZBOGAR, Robert",1989,Slovenia,1:58.55,"['25.94', '30.06', '31.09', '31.46']",4 Aug 2015
"BJOERK, Jesper",1993,Sweden,1:58.59,"['26.64', '30.18', '31.01', '30.76']",13 Dec 2015
"CIESLAK, Marcin",1992,Poland,1:58.61,"['26.93', '30.50', '31.16', '30.02']",28 May 2015
"CARVALHO, Diogo Filipe",1988,Portugal,1:58.73,"['26.02', '29.99', '31.12', '31.60']",11 Apr 2015
"NASCIMENTO, Miguel Duarte",1995,Portugal,1:58.75,"['26.98', '29.91', '31.34', '30.52']",19 Dec 2015
"TESCH, Johannes",1997,Germany,1:58.76,"['26.06', '30.64', '1:02.']",11 Apr 2015
"BATSHA, Yonatan",1996,Israel,1:58.78,[],13 Aug 2015
"KHARLANOV, Alexander",1995,Russia,1:58.90,"['26.50', '30.43', '29.40', '32.57']",20 Apr 2015
"MARSAU, Matthias",1997,France,1:58.96,"['26.81', '30.51', '30.93', '30.71']",25 Jun 2015
"KORZENIOWSKI, Pawel",1985,Poland,1:58.97,"['25.83', '29.69', '30.64', '32.81']",2 May 2015
"BUSSOLIN, Federico",1990,Italy,1:59.08,"['26.70', '30.10', '30.74', '31.54']",18 Dec 2015
"SMITH, Lewis",1988,Great Britain,1:59.26,[],15 Apr 2015
"MAISONNEUVE, Marvin",1991,France,1:59.42,"['26.52', '30.72', '31.35', '30.83']",3 Apr 2015
"NEVO, Gal",1987,Israel,1:59.45,"['26.70', '30.22', '30.87', '31.66']",4 Aug 2015
"TERRES ILLESCAS, Pedro",1995,Spain,1:59.53,"['26.57', '30.03', '1:02.']",28 Mar 2015
"GUNNING, Michael",1994,Great Britain,1:59.53,[],15 Apr 2015
"GUREVICH, Etay",1995,Israel,1:59.56,[],19 Apr 2015
"CAMPSIE, Sean",1994,Great Britain,1:59.57,[],15 Apr 2015
"JOHNSON, Matthew",1995,Great Britain,1:59.58,"['27.25', '30.77', '30.97', '30.59']",30 Jul 2015
"CASARIN, Davide",1995,Italy,1:59.61,"['27.47', '30.64', '30.43', '31.07']",13 Aug 2015
"HORROCKS, Sam",1994,Great Britain,1:59.64,[],15 Apr 2015
"JAKOBSSON, Sindri Thor",1991,Norway,1:59.66,"['26.62', '29.96', '30.97', '32.11']",13 Dec 2015
"ANTIPOV, Daniil",1997,Russia,1:59.67,"['26.06', '31.35', '31.19', '31.07']",24 Jun 2015
"VILACECA, Thomas",1990,France,1:59.69,"['26.71', '29.92', '31.06', '32.00']",3 Apr 2015
"IVANOV, Antani A",1999,Bulgaria,1:59.71,"['27.28', '30.62', '30.66', '31.15']",30 Aug 2015
"KREMER, Tom",1994,Israel,1:59.74,[],13 Aug 2015
"LUECKER, Philip",1994,Germany,1:59.77,"['26.55', '30.09', '1:03.']",11 Apr 2015
"HAVRANEK, Tomas",1994,Czech Republic,1:59.80,"['27.10', '30.64', '30.51', '31.55']",23 May 2015
"COSENTINO, Michele",1986,Italy,1:59.85,"['26.96', '30.12', '30.83', '31.94']",18 Apr 2015
"ADAMCZYK, Patryk",1997,Poland,1:59.88,"['27.05', '31.02', '30.75', '31.06']",25 Jun 2015
"BRANDT, Moritz",1998,Germany,1:59.89,"['26.84', '30.26', '1:02.']",11 Apr 2015
"HORN, Tobias",1993,Germany,1:59.89,"['27.12', '30.05', '1:02.']",11 Apr 2015
"BERLINCIONI, Filippo",1996,Italy,1:59.90,"['26.36', '30.71', '31.36', '31.47']",18 Apr 2015
"THOMASBERGER, David",1996,Germany,1:59.91,"['26.36', '30.96', '31.46', '31.13']",3 Jun 2015
"HYLAND, Brendan",1994,Ireland,1:59.92,"['26.78', '30.46', '31.64', '31.04']",6 Mar 2015
"CERRAI, Simone",1994,Italy,1:59.92,"['26.87', '29.95', '31.24', '31.86']",13 Aug 2015
"SHUL'GA, Olexandr",1993,Ukraine,2:00.02,"['26.75', '30.69', '30.85', '31.73']",18 Apr 2015
"TEKAUER, Mark",1998,Hungary,2:00.02,"['27.12', '30.98', '30.98', '30.94']",30 Aug 2015
"MILCEVIC, Filip",1997,Austria,2:00.08,"['26.70', '30.57', '31.01', '31.80']",18 Apr 2015
"ROCH, Nans",1996,France,2:00.08,"['25.84', '29.73', '31.26', '33.25']",31 Jul 2015
"GRATZ, Benjamin",1996,Hungary,2:00.11,"['27.34', '30.63', '30.74', '31.40']",30 Jun 2015
"FERRARO, Christian",1997,Italy,2:00.16,"['27.21', '29.91', '30.91', '32.13']",18 Apr 2015
"VAZAIOS, Andreas",1994,Greece,2:00.19,"['27.58', '30.87', '30.58', '31.16']",4 Jul 2015
"KYNIGAKIS, Athanasios-Charalabos",1998,Greece,2:00.23,"['26.91', '30.62', '31.31', '31.39']",24 Jun 2015
"TWAROWSKI, Jerzy",1995,Poland,2:00.31,"['26.66', '30.81', '31.53', '31.31']",28 May 2015
"CIEZKOWSKI, Dominik",1996,Poland,2:00.32,"['59.89', '1:00.']",20 Jun 2015
"WEDEL, Kevin",1994,Germany,2:00.34,"['26.65', '31.15', '1:02.']",11 Apr 2015
"CALAMI, Lorenzo",1997,Italy,2:00.35,"['27.09', '31.06', '31.05', '31.15']",13 Aug 2015
"PULAI, Bence",1991,Hungary,2:00.38,"['27.44', '30.38', '1:02.']",3 Apr 2015
"KRYPAK, MaksyM",1995,Ukraine,2:00.45,"['27.74', '30.30', '31.58', '30.83']",18 Apr 2015
"LAZAREV, Artem",1992,Russia,2:00.45,"['26.89', '30.10', '31.52', '31.94']",11 Jul 2015
"OEZCAN, Kaan",1998,Turkey,2:00.46,"['27.42', '30.58', '31.47', '30.99']",13 Aug 2015
"SHEMBERYEV, Maxym",1993,Ukraine,2:00.56,"['27.60', '30.57', '31.38', '31.01']",18 Apr 2015
"ZAJUSCH, Tobias",1994,Germany,2:00.57,"['27.24', '30.57', '1:02.']",11 Apr 2015
"CHRZANOWSKI, Damian",1998,Poland,2:00.60,"['27.16', '30.70', '31.19', '31.55']",24 Jun 2015
"VALENTINI, Luca",1994,Italy,2:00.60,"['26.69', '30.37', '31.59', '31.95']",13 Aug 2015
"HOWDLE, Luke",1994,Great Britain,2:00.61,[],15 Apr 2015
"OLIVEIRA, Pedro Diogo",1988,Portugal,2:00.64,"['27.27', '29.93', '30.74', '32.70']",4 Apr 2015
"MALKOV, Dmitry",1997,Russia,2:00.66,"['26.40', '29.92', '31.36', '32.98']",7 Jul 2015
"SZARANEK, Mark",1995,Great Britain,2:00.67,"['27.27', '30.87', '31.10', '31.43']",7 Aug 2015
"PAINE, Thomas",1994,Great Britain,2:00.75,"['27.39', '30.57', '31.40', '31.39']",26 Jul 2015
"PERFETTO, Giuseppe",1997,Italy,2:00.81,"['27.48', '31.05', '31.43', '30.85']",13 Aug 2015
"PONS RAMON, Joan Lluis",1996,Spain,2:00.82,"['27.23', '30.81', '1:02.']",28 Mar 2015
"POPOV, Dmitriy",2000,Russia,2:00.86,"['17.47', '40.63', '25.33', '37.43']",31 Jul 2015
"TAMBOVSKIY, Andrey",1994,Russia,2:00.93,"['26.94', '29.90', '31.40', '32.69']",20 Apr 2015
"PEREIRA, Luiz Pedro",1991,Portugal,2:00.98,"['26.77', '30.86', '31.25', '32.10']",19 Dec 2015
"SCHOEN, Paulus",1998,Germany,2:01.02,"['26.91', '30.77', '1:03.']",11 Apr 2015
"NITSCHKE, Paul",1998,Germany,2:01.03,"['26.90', '30.91', '31.50', '31.72']",4 Jun 2015
"BEIMIN, Fabian",1991,Netherlands,2:01.05,"['26.60', '30.00', '31.75', '32.70']",3 Apr 2015
"D'ANGELO, Daniele",1995,Italy,2:01.06,"['27.15', '30.35', '30.99', '32.57']",18 Apr 2015
"SHEVLYAKOV, Roman",1998,Russia,2:01.07,"['26.03', '31.38', '31.98', '31.68']",24 Jun 2015
"KAAN, Ozcan",1998,Turkey,2:01.07,"['27.32', '30.76', '31.70', '31.29']",30 Aug 2015
"PAVONI, Roberto",1991,Great Britain,2:01.08,"['27.15', '30.70', '31.43', '31.80']",13 Dec 2015
"RAMIREZ, Alejandro Garcia",1998,Spain,2:01.10,"['27.36', '30.76', '1:02.']",9 Jul 2015
"FAWL, Adam",1994,Great Britain,2:01.18,"['26.98', '30.77', '31.22', '32.21']",30 Jul 2015
"BRUGNONI, Tommaso",1998,Italy,2:01.18,"['27.48', '30.58', '31.43', '31.69']",13 Aug 2015
"VAN DUIJN, Nico",1990,Switzerland,2:01.20,"['27.75', '30.91', '31.44', '31.10']",13 Mar 2015
"KERRY, Benjamin",1996,Great Britain,2:01.23,"['27.58', '31.37', '30.89', '31.39']",30 Jul 2015
"ZWIESIGK, Timo",1995,Germany,2:01.24,"['26.82', '31.29', '32.13', '31.00']",4 Jun 2015
"MASLOV, Andrey",1995,Russia,2:01.25,"['26.88', '30.61', '31.81', '31.95']",20 Apr 2015
"JANECEK, Pavel",1994,Czech Republic,2:01.28,"['58.15', '1:03.']",7 Mar 2015
"IONOV, Bogdan",1993,Russia,2:01.31,"['27.11', '30.46', '31.76', '31.98']",11 Jul 2015
"VALERA, Federico",1995,Italy,2:01.34,"['27.03', '30.84', '31.54', '31.93']",18 Dec 2015
"OPALSKI, Marcin",1993,Poland,2:01.37,"['26.72', '30.24', '31.77', '32.64']",28 May 2015
"MARTON, Richard",1999,Hungary,2:01.39,"['27.24', '30.54', '31.37', '32.24']",31 Jul 2015
"MILLS, Gareth",1993,Great Britain,2:01.41,[],15 Apr 2015
"GODANI, Corrado",1996,Italy,2:01.42,"['27.29', '30.74', '31.41', '31.98']",18 Dec 2015
"WELLBROCK, Florian",1997,Germany,2:01.45,"['59.11', '1:02.']",19 Dec 2015
"KUDRYASHOV, Vladimir",1996,Russia,2:01.46,"['27.11', '30.80', '31.76', '31.79']",11 Jul 2015
"HECLAU, Tom",1995,Germany,2:01.47,"['27.26', '30.70', '31.47', '32.04']",3 Jun 2015
"GYURTA, Gergely",1991,Hungary,2:01.51,"['27.18', '31.02', '31.40', '31.91']",30 May 2015
"STABER, Patrick",1996,Austria,2:01.58,"['27.25', '31.34', '31.53', '31.46']",18 Jul 2015
"COGGI, Valerio",1994,France,2:01.59,"['26.84', '31.05', '1:03.']",8 Mar 2015
"ZIKMUND, Martin",1993,Czech Republic,2:01.66,"['27.24', '30.56', '31.32', '32.54']",3 Apr 2015
"CSONTOS, Kristof",1993,Hungary,2:01.67,"['27.77', '30.24', '1:03.']",3 Apr 2015
"WALLACE, Dan",1993,Great Britain,2:01.73,"['27.37', '31.07', '31.31', '31.98']",12 Jul 2015
"ISKAKOV, Evgeny",1993,Russia,2:01.75,"['28.35', '31.79', '31.34', '30.27']",11 Feb 2015
"CHISHOLM, Kyle",1997,Great Britain,2:01.76,"['27.34', '30.95', '31.71', '31.76']",30 Jul 2015
"BARRENA LORONO, Javier",1997,Spain,2:01.77,"['27.77', '30.46', '1:03.']",28 Mar 2015
"MARTINEZ MATEU, Jorge",1996,Spain,2:01.77,"['27.46', '30.30', '1:04.']",9 Jul 2015
"SZABO, Norbert",1996,Hungary,2:01.85,"['27.08', '31.26', '31.34', '32.17']",30 Jun 2015
"KIS, Gergo",1988,Hungary,2:01.98,"['58.05', '1:03.']",21 Mar 2015
"HINAWI, Marc",1997,Israel,2:01.98,[],28 Mar 2015
"BENECHOUTSOS, Theodoros",1998,Greece,2:02.09,"['27.48', '31.21', '31.77', '31.63']",18 Apr 2015
"BERTOLDI, Matteo",1997,Italy,2:02.14,"['27.06', '31.39', '31.66', '32.03']",18 Dec 2015
"SUNTER, Thomas",1992,Great Britain,2:02.15,"['26.87', '30.53', '31.83', '32.92']",30 Jul 2015
"RIVAS GALLEGO, Javier",1995,Spain,2:02.17,"['26.44', '30.36', '1:05.']",9 Jul 2015
"CALZADA MUNOZ, Marc",1995,Spain,2:02.20,"['27.50', '30.91', '1:03.']",9 Jul 2015
"BALLESTER PUIG, Joan",1995,Spain,2:02.23,"['26.97', '30.66', '1:04.']",28 Mar 2015
"BEELEY, Thomas",1999,Great Britain,2:02.30,"['27.91', '31.26', '31.51', '31.62']",30 Jul 2015
"KLIMANOV, Anatoly",1994,Russia,2:02.31,"['26.24', '30.88', '31.91', '33.28']",20 Apr 2015
"MALLETT, Adam",1989,Great Britain,2:02.36,[],12 Dec 2015
"STOKOWSKI, Kacper",1999,Poland,2:02.37,"['27.21', '32.14', '31.43', '31.59']",28 May 2015
"KUSWIK, Maciej",1996,Poland,2:02.42,[],15 Mar 2015
"RADTSCHENKO, Earl",1996,Great Britain,2:02.45,[],15 Apr 2015
"MASIERO, Matteo",1997,Italy,2:02.48,[],17 Jul 2015
"SLANSCHEK, Tim",1996,Switzerland,2:02.55,"['27.24', '31.70', '32.11', '31.50']",13 Mar 2015
"HAERSTEDT, Rasmus",1994,Denmark,2:02.56,"['27.03', '30.79', '31.84', '32.90']",7 Jul 2015
"LITCHFIELD, Joe",1998,Great Britain,2:02.59,"['27.06', '30.82', '32.17', '32.54']",24 Jun 2015
"SERGEEV, Zakhar",1997,Russia,2:02.61,"['26.84', '31.94', '30.53', '33.30']",21 Apr 2015
"GIORDANO, Francesco",1995,Italy,2:02.66,"['26.83', '31.35', '32.18', '32.30']",13 Mar 2015
"SCOTT, Duncan W",1997,Great Britain,2:02.67,"['27.67', '31.33', '31.62', '32.05']",13 Feb 2015
"LOWTHER, Fraser",1997,Great Britain,2:02.67,"['27.72', '30.89', '32.42', '31.64']",30 Jul 2015
"BRZOSKOWSKI, Maarten",1995,Netherlands,2:02.68,"['27.32', '31.58', '32.32', '31.46']",3 Apr 2015
"AGUERA PUNTAS, Francisco",1998,Spain,2:02.70,"['27.54', '31.27', '1:03.']",28 Mar 2015
"TORMENTO, Hugo",1993,France,2:02.70,"['27.05', '30.96', '32.01', '32.68']",3 Apr 2015
"GUNNING, Luke",1997,Great Britain,2:02.71,[],15 Apr 2015
"BRACCO, Federico",1998,Italy,2:02.72,"['27.64', '31.24', '31.79', '32.05']",18 Apr 2015
"LEMESHKO, Lyubomyr",1992,Ukraine,2:02.72,"['27.40', '31.35', '31.93', '32.04']",18 Apr 2015
"WALLBANK, Kevin",1996,Great Britain,2:02.74,"['26.22', '30.62', '32.37', '33.53']",13 Dec 2015
"COTTO, Simone",1997,Italy,2:02.75,"['27.54', '30.80', '31.77', '32.64']",18 Apr 2015
"ZHIKHAREV, Petr",1999,Russia,2:02.79,"['59.59', '1:03.']",22 May 2015
"PETIT, Ambroise",1995,France,2:02.80,"['27.37', '30.92', '31.95', '32.56']",31 Jul 2015
Anonymous Athlete,1993,Israel,2:02.86,[],13 Aug 2015
"KLENZ, Ramon",1998,Germany,2:02.89,"['27.12', '31.81', '1:03.']",11 Apr 2015
"MILAK, Kristof",2000,Hungary,2:02.91,"['26.54', '31.76', '1:04.']",13 Dec 2015
"CARNOL, Laurent",1989,Luxembourg,2:02.93,"['27.51', '30.93', '32.14', '32.35']",2 Jun 2015
"STRELNIKOV, Sergey",1991,Russia,2:03.02,"['27.58', '31.39', '32.14', '31.91']",20 Apr 2015
"MAESTRI, Riccardo",1994,Italy,2:03.04,[],17 Jul 2015
"NAGY, Richard",1993,Slovakia,2:03.06,"['27.58', '31.04', '32.06', '32.38']",27 Jun 2015
"VASQUEZ TAPIA-VERA, Cristian",1996,Spain,2:03.06,"['27.30', '31.12', '1:04.']",9 Jul 2015
"SOS, Daniel",1998,Hungary,2:03.06,"['27.93', '32.08', '31.76', '31.29']",19 Dec 2015
"VASHAKIDZE, Akaki",1998,Georgia,2:03.07,"['26.79', '31.13', '32.19', '32.96']",17 Apr 2015
"MALM, Markus",1997,Sweden,2:03.09,"['27.90', '30.89', '31.30', '33.00']",24 Jun 2015
"ALKAN, Samet",1998,Turkey,2:03.12,"['28.06', '31.62', '31.95', '31.49']",13 Aug 2015
"MEIER, Christoph",1993,Liechtenstein,2:03.15,"['27.29', '31.62', '30.84', '33.40']",2 Jun 2015
"ADIBEKE, Taha",1997,Turkey,2:03.15,"['27.57', '31.94', '32.01', '31.63']",13 Aug 2015
"TURRINI, Federico",1987,Italy,2:03.16,[],8 Jul 2015
"ADAMOVYCH, Ivan",1997,Ukraine,2:03.17,"['27.63', '31.84', '31.19', '32.51']",18 Apr 2015
"FAMIGLIETTI, Roberto",1995,Italy,2:03.17,[],17 Jul 2015
"VANLUCHENE, Emmanuel",1992,Belgium,2:03.19,"['27.55', '30.88', '31.92', '32.84']",17 Apr 2015
"MROWINSKI, Romain",1994,France,2:03.19,"['27.80', '32.00', '31.94', '31.45']",31 Jul 2015
"SERES, Edwin",1995,Hungary,2:03.20,"['27.56', '30.99', '31.98', '32.67']",30 Jun 2015
"SUVORAU, Yury",1991,Belarus,2:03.21,"['26.82', '31.55', '32.27', '32.57']",17 Jul 2015
"GEZMIS, Ergecan",1998,Turkey,2:03.26,"['27.71', '30.73', '31.50', '33.32']",30 Aug 2015
"KIERZKOWSKI, Mateusz",1987,Poland,2:03.27,"['27.08', '31.04', '31.80', '33.35']",28 May 2015
"MRCELA, Petar",1987,Croatia,2:03.27,"['27.31', '31.32', '32.10', '32.54']",20 Jul 2015
