Swimmer name,Year of birth,Country,Time,Splits,Date
"BARTOS, Dominik",1987,Czech Republic,2:07.58,"['26.91', '32.35', '1:08.']",12 Mar 2010
"RAHMUNI DEL POZO, Ismael",1992,Spain,2:07.58,"['27.01', '1:40.']",25 Apr 2010
"QUINN, Jonathan",1990,Great Britain,2:07.59,[],14 Feb 2010
"DIMITRAKOPOULOS, Haralabos",1990,Greece,2:07.63,[],15 May 2010
"GIACOMUNI, Cristiano",1991,Italy,2:07.64,"['27.75', '32.35', '38.29', '29.25']",15 Apr 2010
"WOLTHUIZEN, Devi",1987,Netherlands,2:07.68,"['27.10', '33.39', '36.35', '30.84']",26 Mar 2010
"CARNOL, Laurent",1989,Luxembourg,2:07.68,[],16 Oct 2010
"KATRANTZIS, Christos",1992,Greece,2:07.73,[],7 May 2010
"ALPATOV, Vitaliy",1993,Ukraine,2:07.74,"['27.84', '33.36', '36.99', '29.55']",29 Mar 2010
"FIEDLER, Ondrej",1987,Czech Republic,2:07.76,"['26.79', '34.74', '1:06.']",9 Jul 2010
"RAPETTI, Alberto",1992,Italy,2:07.78,"['27.78', '33.81', '35.51', '30.68']",23 Jul 2010
"GIORGETTI, Edoardo",1989,Italy,2:07.79,[],16 May 2010
"PELCZYNSKI, Kacper",1992,Poland,2:07.80,"['27.41', '34.35', '35.63', '30.41']",5 Jun 2010
"BARTON, Thomas",1994,Great Britain,2:07.81,[],5 Aug 2010
"BADURA, Martin",1989,Czech Republic,2:07.83,[],17 Nov 2010
"HASLETT, Andrew",1990,Great Britain,2:07.84,[],2 Apr 2010
"DE STEFANI, Alessio",1990,Italy,2:07.84,"['26.84', '32.58', '37.46', '30.96']",15 Apr 2010
"HUESING, Lukas",1990,Germany,2:07.84,"['26.84', '32.59', '1:08.']",1 Jul 2010
"ALLISON, Matthew",1991,Great Britain,2:07.84,[],21 Aug 2010
"GRISHIN, Vasily",1992,Russia,2:07.86,"['27.74', '31.45', '37.89', '30.78']",5 May 2010
"BROMER, Viktor B.",1993,Denmark,2:07.90,"['27.25', '32.38', '38.51', '29.76']",27 Mar 2010
"CANLAN-SHAW, Joseph",1988,Great Britain,2:07.90,[],4 Apr 2010
"BERGER, Jamie",1993,Germany,2:07.91,"['27.63', '32.89', '1:07.']",4 Jun 2010
"BACKHAUS, Robin",1989,Germany,2:07.95,"['26.54', '32.84', '1:08.']",30 Jan 2010
"HAYET, Nimrod",1991,Israel,2:07.96,"['27.11', '32.54', '37.29', '31.02']",16 May 2010
"JELENAK, Pavol",1992,Slovakia,2:07.97,"['27.54', '33.52', '37.09', '29.82']",15 Jul 2010
"GAETANI, Giorgio",1994,Italy,2:07.97,[],18 Jul 2010
"JOUVION, Matthieu",1988,France,2:07.97,"['27.43', '1:40.']",20 Jul 2010
